ticker,period_end,available_at,revenue,revenue_growth,operating_margin,accession,prior_accession,revenue_tag,derivation,subtract_accession,operating_accession
ADBE,2009-05-29,2009-06-27,704673000,-0.205452560983035,0.22897570930062597,0000796343-09-000026,0000796343-09-000026,Revenues,direct_quarter,,0000796343-09-000026
CRM,2009-07-31,2009-08-26,316061000,0.20140111070142952,0.09330160949943207,0001193125-09-180950,0001193125-09-180950,Revenues,direct_quarter,,0001193125-09-180950
ADBE,2009-08-28,2009-10-02,697507000,-0.21386137274769312,0.24028719425038028,0000796343-09-000032,0000796343-09-000032,Revenues,direct_quarter,,0000796343-09-000032
CRM,2009-10-31,2009-11-26,330549000,0.1955317971550199,0.0911846655110135,0001193125-09-242413,0001193125-09-242413,Revenues,direct_quarter,,0001193125-09-242413
ADBE,2009-11-27,2010-01-23,757283000,-0.17264047564680907,0.20288584320524825,0000796343-10-000003,0000796343-10-000003,Revenues,annual_minus_9m,0000796343-09-000032,0000796343-10-000003
CRM,2010-01-31,2010-03-12,354049000,0.22261665912708972,0.07207759377939212,0001193125-10-053838,0001193125-10-053838,Revenues,annual_minus_9m,0001193125-09-242413,0001193125-10-053838
ADBE,2010-03-05,2010-04-10,858700000,0.09195183051666467,0.2059310585769186,0000796343-10-000007,0000796343-10-000007,Revenues,direct_quarter,,0000796343-10-000007
CRM,2010-04-30,2010-05-29,376813000,0.23576038619459272,0.08770928816150186,0000950130-10-001306,0000950130-10-001306,Revenues,direct_quarter,,0000950130-10-001306
ADBE,2010-06-04,2010-07-03,943035000,0.338259022269904,0.24101438440778974,0000796343-10-000011,0000796343-09-000026,Revenues,direct_quarter,,0000796343-10-000011
CRM,2010-07-31,2010-09-10,394372000,0.2477717908884678,0.07526396397310153,0001193125-10-207193,0001193125-09-180950,Revenues,direct_quarter,,0001193125-10-207193
ADBE,2010-09-03,2010-10-09,990319000,0.4197979375117382,0.30496536974449645,0000796343-10-000014,0000796343-09-000032,Revenues,direct_quarter,,0000796343-10-000014
CRM,2010-10-31,2010-11-25,429087000,0.29810406324024585,0.08193210234754257,0001193125-10-268895,0001193125-09-242413,Revenues,direct_quarter,,0001193125-10-268895
ADBE,2010-12-03,2011-01-28,1007946000,0.33100307282746355,0.28468092536703354,0000796343-11-000003,0000796343-10-000003,Revenues,annual_minus_9m,0000796343-10-000014,0000796343-11-000003
CRM,2011-01-31,2011-03-24,456867000,0.29040613022491235,-0.000855828939275544,0001193125-11-075314,0001193125-10-053838,Revenues,annual_minus_9m,0001193125-10-268895,0001193125-11-075314
ADBE,2011-03-04,2011-04-09,1027706000,0.1968161173867473,0.2941833559403176,0000796343-11-000006,0000796343-10-000007,Revenues,direct_quarter,,0000796343-11-000006
CRM,2011-04-30,2011-05-27,504364000,0.3384994679058313,-0.005557494190703539,0001193125-11-151778,0000950130-10-001306,Revenues,direct_quarter,,0001193125-11-151778
ADBE,2011-06-03,2011-06-30,1023179000,0.08498518082573825,0.27045512075599676,0000796343-11-000010,0000796343-10-000011,Revenues,direct_quarter,,0000796343-11-000010
CRM,2011-07-31,2011-09-07,546002000,0.38448469972513255,-0.02884238519272823,0001193125-11-241110,0001193125-10-207193,Revenues,direct_quarter,,0001193125-11-241110
ADBE,2011-09-02,2011-10-08,1013212000,0.02311679367961239,0.27053568256199095,0000796343-11-000015,0000796343-10-000014,Revenues,direct_quarter,,0000796343-11-000015
CRM,2011-10-31,2011-11-30,584260000,0.36163528608417406,-0.017384383664806765,0001193125-11-324675,0001193125-10-268895,Revenues,direct_quarter,,0001193125-11-324675
ADBE,2011-12-02,2012-01-27,1152161000,0.14307810140622612,0.21362552629363432,0000796343-12-000003,0000796343-11-000003,Revenues,annual_minus_9m,0000796343-11-000015,0000796343-12-000003
CRM,2012-01-31,2012-03-10,631913000,0.38314432865582315,-0.010091579062307628,0001193125-12-107281,0001193125-11-075314,Revenues,annual_minus_9m,0001193125-11-324675,0001193125-12-107281
ADBE,2012-03-02,2012-03-31,1045220000,0.01704183881382426,0.27647672260385375,0000796343-12-000013,0000796343-11-000006,Revenues,direct_quarter,,0000796343-12-000013
CRM,2012-04-30,2012-05-26,695467000,0.3788989697916585,-0.031991453224955314,0001193125-12-249119,0001193125-11-151778,Revenues,direct_quarter,,0001193125-12-249119
WDAY,2012-04-30,2013-03-23,56818000,1.3009759850969909,-0.35124432398183675,0001193125-13-122351,0001193125-13-122351,SalesRevenueServicesNet,direct_quarter,,0001193125-13-122351
ADBE,2012-06-01,2012-06-28,1124449000,0.09897583902718887,0.27137113377307465,0000796343-12-000022,0000796343-11-000010,Revenues,direct_quarter,,0000796343-12-000022
NOW,2012-06-30,2012-08-11,56774000,0.9255214515855519,-0.1605840701729665,0001193125-12-349586,0001193125-12-349586,SalesRevenueNet,direct_quarter,,0001193125-12-349586
CRM,2012-07-31,2012-09-01,731649000,0.3400115750491757,-0.01840500021185022,0001193125-12-377656,0001193125-11-241110,Revenues,direct_quarter,,0001193125-12-377656
WDAY,2012-07-31,2013-03-23,62702000,1.0813251012414526,-0.4204012631176039,0001193125-13-122351,0001193125-13-122351,SalesRevenueServicesNet,direct_quarter,,0001193125-13-122351
ADBE,2012-08-31,2012-09-28,1080580000,0.06648954019494435,0.25755057469136944,0000796343-12-000029,0000796343-11-000015,Revenues,direct_quarter,,0000796343-12-000029
NOW,2012-09-30,2012-11-01,64345000,0.8815978009766938,-0.2074287046390551,0001193125-12-443921,0001193125-12-443921,SalesRevenueNet,direct_quarter,,0001193125-12-443921
CRM,2012-10-31,2012-11-29,788398000,0.34939581693081845,-0.06873178267829193,0001193125-12-483959,0001193125-11-324675,Revenues,direct_quarter,,0001193125-12-483959
WDAY,2012-10-31,2012-12-08,72618000,0.9922633744855966,-0.5627805778181718,0001193125-12-495545,0001193125-12-495545,Revenues,direct_quarter,,0001193125-12-495545
