date,hiring_index
2020-02-01,100.0
2020-02-02,99.84
2020-02-03,99.73
2020-02-04,99.55
2020-02-05,99.46
2020-02-06,99.46
2020-02-07,99.44
2020-02-08,99.51
2020-02-09,99.54
2020-02-10,99.61
2020-02-11,99.65
2020-02-12,99.66
2020-02-13,99.62
2020-02-14,99.63
2020-02-15,99.6
2020-02-16,99.7
2020-02-17,99.71
2020-02-18,99.69
2020-02-19,99.68
2020-02-20,99.74
2020-02-21,99.74
2020-02-22,99.59
2020-02-23,99.59
2020-02-24,99.54
2020-02-25,99.63
2020-02-26,99.65
2020-02-27,99.65
2020-02-28,99.71
2020-02-29,99.97
2020-03-01,100.1
2020-03-02,100.29
2020-03-03,100.42
2020-03-04,100.56
2020-03-05,100.63
2020-03-06,100.76
2020-03-07,100.78
2020-03-08,100.69
2020-03-09,100.52
2020-03-10,100.47
2020-03-11,100.38
2020-03-12,100.37
2020-03-13,100.24
2020-03-14,100.22
2020-03-15,100.19
2020-03-16,100.27
2020-03-17,100.12
2020-03-18,99.96
2020-03-19,99.68
2020-03-20,99.32
2020-03-21,98.72
2020-03-22,98.2
2020-03-23,97.53
2020-03-24,97.03
2020-03-25,96.35
2020-03-26,95.36
2020-03-27,93.93
2020-03-28,92.59
2020-03-29,91.1
2020-03-30,89.73
2020-03-31,88.23
2020-04-01,86.78
2020-04-02,85.56
2020-04-03,84.84
2020-04-04,84.03
2020-04-05,83.23
2020-04-06,82.36
2020-04-07,81.41
2020-04-08,80.65
2020-04-09,79.86
2020-04-10,79.12
2020-04-11,78.65
2020-04-12,78.19
2020-04-13,77.81
2020-04-14,77.47
2020-04-15,77.04
2020-04-16,76.65
2020-04-17,76.22
2020-04-18,75.73
2020-04-19,75.17
2020-04-20,74.73
2020-04-21,74.36
2020-04-22,73.96
2020-04-23,73.67
2020-04-24,73.33
2020-04-25,72.92
2020-04-26,72.6
2020-04-27,72.18
2020-04-28,71.74
2020-04-29,71.27
2020-04-30,70.76
2020-05-01,70.28
2020-05-02,69.89
2020-05-03,69.46
2020-05-04,69.05
2020-05-05,68.7
2020-05-06,68.5
2020-05-07,68.27
2020-05-08,68.02
2020-05-09,67.81
2020-05-10,67.74
2020-05-11,67.58
2020-05-12,67.29
2020-05-13,66.67
2020-05-14,66.25
2020-05-15,66.05
2020-05-16,65.61
2020-05-17,65.14
2020-05-18,64.87
2020-05-19,64.69
2020-05-20,64.86
2020-05-21,65.05
2020-05-22,65.1
2020-05-23,65.22
2020-05-24,65.35
2020-05-25,65.32
2020-05-26,65.3
2020-05-27,65.18
2020-05-28,64.91
2020-05-29,64.74
2020-05-30,64.98
2020-05-31,64.92
2020-06-01,64.82
2020-06-02,64.87
2020-06-03,65.04
2020-06-04,65.11
2020-06-05,65.16
2020-06-06,65.08
2020-06-07,65.18
2020-06-08,65.34
2020-06-09,65.27
2020-06-10,65.21
2020-06-11,65.23
2020-06-12,65.21
2020-06-13,64.99
2020-06-14,64.92
2020-06-15,64.95
2020-06-16,65.01
2020-06-17,65.0
2020-06-18,65.09
2020-06-19,65.12
2020-06-20,65.35
2020-06-21,65.56
2020-06-22,65.57
2020-06-23,65.6
2020-06-24,65.59
2020-06-25,65.61
2020-06-26,65.62
2020-06-27,65.53
2020-06-28,65.41
2020-06-29,65.39
2020-06-30,65.36
2020-07-01,65.36
2020-07-02,65.39
2020-07-03,65.42
2020-07-04,65.46
2020-07-05,65.51
2020-07-06,65.53
2020-07-07,65.65
2020-07-08,65.95
2020-07-09,66.12
2020-07-10,66.39
2020-07-11,66.67
2020-07-12,66.94
2020-07-13,67.3
2020-07-14,67.61
2020-07-15,67.75
2020-07-16,67.89
2020-07-17,68.0
2020-07-18,67.84
2020-07-19,67.92
2020-07-20,68.01
2020-07-21,68.1
2020-07-22,68.22
2020-07-23,68.31
2020-07-24,68.41
2020-07-25,68.73
2020-07-26,68.79
2020-07-27,68.77
2020-07-28,68.79
2020-07-29,68.78
2020-07-30,68.82
2020-07-31,68.85
2020-08-01,69.11
2020-08-02,69.28
2020-08-03,69.46
2020-08-04,69.56
2020-08-05,69.62
2020-08-06,69.68
2020-08-07,69.6
2020-08-08,69.54
2020-08-09,69.63
2020-08-10,69.72
2020-08-11,69.89
2020-08-12,69.95
2020-08-13,70.06
2020-08-14,70.28
2020-08-15,70.06
2020-08-16,70.07
2020-08-17,70.07
2020-08-18,70.12
2020-08-19,70.19
2020-08-20,70.21
2020-08-21,70.22
2020-08-22,70.45
2020-08-23,70.48
2020-08-24,70.46
2020-08-25,70.38
2020-08-26,70.45
2020-08-27,70.55
2020-08-28,70.66
2020-08-29,70.75
2020-08-30,70.79
2020-08-31,70.89
2020-09-01,70.98
2020-09-02,71.14
2020-09-03,71.26
2020-09-04,71.47
2020-09-05,71.67
2020-09-06,71.9
2020-09-07,72.1
2020-09-08,72.31
2020-09-09,72.35
2020-09-10,72.5
2020-09-11,72.59
2020-09-12,72.72
2020-09-13,72.77
2020-09-14,72.79
2020-09-15,72.88
2020-09-16,73.05
2020-09-17,73.25
2020-09-18,73.34
2020-09-19,73.41
2020-09-20,73.55
2020-09-21,73.65
2020-09-22,73.71
2020-09-23,73.72
2020-09-24,73.72
2020-09-25,73.85
2020-09-26,73.95
2020-09-27,74.03
2020-09-28,74.24
2020-09-29,74.47
2020-09-30,74.78
2020-10-01,74.99
2020-10-02,75.22
2020-10-03,75.51
2020-10-04,75.8
2020-10-05,75.99
2020-10-06,76.13
2020-10-07,76.2
2020-10-08,76.35
2020-10-09,76.44
2020-10-10,76.46
2020-10-11,76.55
2020-10-12,76.73
2020-10-13,76.89
2020-10-14,77.14
2020-10-15,77.44
2020-10-16,77.58
2020-10-17,77.8
2020-10-18,78.0
2020-10-19,78.33
2020-10-20,78.69
2020-10-21,79.0
2020-10-22,79.02
2020-10-23,79.26
2020-10-24,79.52
2020-10-25,79.71
2020-10-26,79.75
2020-10-27,79.87
2020-10-28,80.0
2020-10-29,80.26
2020-10-30,80.29
2020-10-31,80.48
2020-11-01,80.75
2020-11-02,80.97
2020-11-03,81.06
2020-11-04,81.17
2020-11-05,81.29
2020-11-06,81.53
2020-11-07,81.62
2020-11-08,81.67
2020-11-09,81.72
2020-11-10,81.88
2020-11-11,81.93
2020-11-12,82.09
2020-11-13,82.23
2020-11-14,82.25
2020-11-15,82.53
