date,ticker,momentum,low_volatility,profitability,growth,fundamental_available_at,fundamental_period,hiring_growth,hiring_acceleration,momentum_z,low_volatility_z,profitability_z,growth_z,composite
2016-07-31,ADBE,0.16831325053437873,-0.050951330780510194,0.1559934762676245,0.10904791425029,2015-03-26,2015-02-27,,,0.9739346730358458,1.5745112008537328,1.1251938179349514,-1.6087360341078973,0.5162259144291581
2016-07-31,CRM,0.08335635454909984,-0.07282456374363415,-0.024100655679603,0.2613997740215605,2015-03-07,2015-01-31,,,0.4751941489987997,0.9897920422173314,0.2269216704554463,-0.9214998698055343,0.19260199796651073
2016-07-31,HUBS,-0.1951807682128458,-0.11129217307324088,-0.2990095896871561,0.5788036733680815,2015-05-08,2015-03-31,,,-1.130571607970396,-0.381305268051155,-1.0904552052499985,0.9875146850457799,-0.4037043490564424
2016-07-31,NOW,-0.1751553156324276,-0.13334154157843014,-0.2558547677907569,0.5239341433604141,2015-05-08,2015-03-31,,,-1.0424018549602865,-1.1377645082658752,-0.9290197348663778,0.6575038325699814,-0.6129205663806396
2016-07-31,VEEV,0.2674590949177307,-0.10047645929516485,0.237702845584517,0.3854752161520947,2015-04-02,2015-01-31,,,1.4104623657885618,0.0041981809074042855,1.430855848057295,-0.1752525003987353,0.6675659735886315
2016-07-31,WDAY,-0.1145500231514528,-0.1300371770646936,-0.2226690767347408,0.5949769500796527,2015-03-26,2015-01-31,,,-0.6866177248925244,-1.049431647661437,-0.7634963963313162,1.0604698866964057,-0.35976897054721796
2016-08-31,ADBE,0.245513567397889,-0.050972105418979285,0.166601271083622,0.0879510357533364,2015-06-25,2015-05-29,,,0.35027081309053154,1.5573594189643587,1.109493297976901,-1.5571538614028686,0.36499241715723063
2016-08-31,CRM,0.179354397173763,-0.07200460141237434,0.020583429892262,0.2318238433873614,2015-05-23,2015-04-30,,,-0.2941570533724606,1.052325299216139,0.39113050641860964,-0.9393580118938879,0.05248518509210001
2016-08-31,HUBS,0.15436665459364884,-0.1327436128179853,-0.2990095896871561,0.5788036733680815,2015-05-08,2015-03-31,,,-0.5375518478367552,-0.8923019207608548,-1.1280915784718357,1.0361579020386262,-0.3804468612577049
2016-08-31,NOW,0.05580607350482247,-0.13651309739024448,-0.2558547677907569,0.5239341433604141,2015-05-08,2015-03-31,,,-1.2575788460584996,-0.9828151115610932,-0.9688602574543367,0.7330871048718424,-0.6190417775505217
2016-08-31,VEEV,0.46679545320482063,-0.1017730058568406,0.2326990869966527,0.3477465865319764,2015-06-05,2015-04-30,,,1.9668291799169078,0.09925661669481671,1.3533789654805257,-0.27565520609695315,0.7859523889988242
2016-08-31,WDAY,0.186165582180011,-0.13091710710892718,-0.2128013962551353,0.5710636859337537,2015-06-06,2015-04-30,,,-0.2278122457397239,-0.833824302553363,-0.7570509339498646,1.00292207248324,-0.2039413524399279
2016-09-30,ADBE,0.24434439357356696,-0.04812837985584808,0.166601271083622,0.0879510357533364,2015-06-25,2015-05-29,,,-0.04598866236102495,1.6025669095933068,1.109493297976901,-1.5571538614028686,0.27722942095157854
2016-09-30,CRM,0.14388592068964678,-0.07030277655330831,0.020583429892262,0.2318238433873614,2015-05-23,2015-04-30,,,-0.6189201289076056,1.0250670882710797,0.39113050641860964,-0.9393580118938879,-0.035520136527951024
2016-09-30,HUBS,0.20207036796239963,-0.12596903355052705,-0.2990095896871561,0.5788036733680815,2015-05-08,2015-03-31,,,-0.28708449823163557,-0.9079282130623733,-1.1280915784718357,1.0361579020386262,-0.32173659693180456
2016-09-30,NOW,0.04636429355564031,-0.1316500525580101,-0.2558547677907569,0.5239341433604141,2015-05-08,2015-03-31,,,-1.0360567370744695,-1.055882067523965,-0.9688602574543367,0.7330871048718424,-0.5819279892952323
2016-09-30,VEEV,0.7479708857609784,-0.09979801190860628,0.2326990869966527,0.3477465865319764,2015-06-05,2015-04-30,,,2.1082109024735094,0.0008532390021425357,1.3533789654805257,-0.27565520609695315,0.7966969752148061
2016-09-30,WDAY,0.23133895097266466,-0.11896390168828586,-0.2128013962551353,0.5710636859337537,2015-06-06,2015-04-30,,,-0.12016087589877435,-0.6646769562801895,-0.7570509339498646,1.00292207248324,-0.13474167341139714
2016-10-31,ADBE,0.22422734527715882,-0.04893384049536188,0.166601271083622,0.0879510357533364,2015-06-25,2015-05-29,,,0.360402178157284,1.6060783295492569,1.1343529014152558,-1.5294666327557778,0.3928416940915047
2016-10-31,CRM,-0.0821001108027597,-0.07784849862774568,0.0121271144759476,0.2397578857397249,2015-08-26,2015-07-31,,,-1.1402178352163312,0.8128282698972479,0.3384360592409871,-0.8171253539873409,-0.2015197150163593
2016-10-31,HUBS,0.11063989486494563,-0.12532975270117375,-0.2636640972497147,0.5846556941471694,2015-08-07,2015-06-30,,,-0.22043784700745536,-0.9239843623510571,-1.051132810386017,1.2294878107981684,-0.24151680223659022
2016-10-31,NOW,-0.03061849371316616,-0.13308083023849152,-0.2157744126850305,0.479494114190109,2015-08-07,2015-06-30,,,-0.9427757961266913,-1.136628851893143,-0.8358099622818609,0.6827982797334556,-0.5581040826420599
2016-10-31,VEEV,0.6271185421271053,-0.0906314933716791,0.2278430693018846,0.2966139775851131,2015-09-05,2015-07-31,,,1.9055684711834342,0.34524022525771153,1.3710108304050346,-0.46140191397523794,0.7901044032177356
