date,nav,net_return,gross_return,trading_cost,borrow_cost,turnover,cash_weight,gross_exposure,net_exposure
2016-07-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2016-08-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2016-09-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2016-10-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2016-11-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2016-12-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-01-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-02-28,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-03-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-04-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-05-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-06-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-07-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-08-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-09-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-10-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-11-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2017-12-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2018-01-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2018-02-28,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2018-03-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2018-04-30,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
2018-05-31,1.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.0,0.0,0.0
