date,nav,net_return,gross_return,trading_cost,borrow_cost,turnover,cash_weight,gross_exposure,net_exposure
2016-07-31,0.999000999000999,-0.0009990009990009652,0.0,0.000999000999000999,0.0,0.999000999000999,0.0,1.0,1.0
2016-08-31,1.0001977630304848,0.001197960793515307,0.001197960793515307,5.427505020901931e-20,0.0,0.0,0.0,1.0,1.0
2016-09-30,1.0002557879531266,5.801344972611311e-05,5.801344972611311e-05,5.421325353968654e-20,0.0,0.0,0.0,1.0,1.0
2016-10-31,0.9829140013074024,-0.017337351959953784,-0.017337351959953784,5.3270248891268836e-20,0.0,0.0,0.0,1.0,1.0
2016-11-30,1.0191229542058549,0.0368383732964328,0.0368383732964328,5.620712084221644e-20,0.0,0.0,0.0,1.0,1.0
2016-12-31,1.0397827114280933,0.020272094880187774,0.020272094880187774,5.530906108977181e-20,0.0,0.0,0.0,1.0,1.0
2017-01-31,1.0583889303724638,0.017894333825589248,0.017894333825589248,5.518016240471946e-20,0.0,0.0,0.0,1.0,1.0
2017-02-28,1.099974914383561,0.0392917790593883,0.0392917790593883,5.634012023512568e-20,0.0,0.0,0.0,1.0,1.0
2017-03-31,1.1013500391127582,0.0012501418997974412,0.0012501418997974412,5.4277878952459e-20,0.0,0.0,0.0,1.0,1.0
2017-04-30,1.1122822971942286,0.009926233888616576,0.009926233888616576,5.474821084160709e-20,0.0,0.0,0.0,1.0,1.0
2017-05-31,1.1279796872041217,0.01411277519159504,0.01411277519159504,5.497516370040157e-20,0.0,0.0,0.0,1.0,1.0
2017-06-30,1.1351704092581463,0.006374868391334276,0.006374868391334276,5.455569093223491e-20,0.0,0.0,0.0,1.0,1.0
2017-07-31,1.1585027746360397,0.02055406411900873,0.02055406411900873,5.5324346672837e-20,0.0,0.0,0.0,1.0,1.0
2017-08-31,1.1618830560669813,0.0029178017566713343,0.0029178017566713343,5.436828297444848e-20,0.0,0.0,0.0,1.0,1.0
2017-09-30,1.1852945463393862,0.020149609851144445,0.020149609851144445,5.530242116304253e-20,0.0,0.0,0.0,1.0,1.0
2017-10-31,1.213225057149577,0.023564194146046047,0.023564194146046047,5.548752614857589e-20,0.0,0.0,0.0,1.0,1.0
2017-11-30,1.2503080104453204,0.030565601227251493,0.030565601227251493,5.58670731869708e-20,0.0,0.0,0.0,1.0,1.0
2017-12-31,1.2654720492131475,0.012128242513959497,0.012128242513959497,5.486758196837852e-20,0.0,0.0,0.0,1.0,1.0
2018-01-31,1.3367924267857665,0.05635871421811722,0.05635871421811722,5.726532064396384e-20,0.0,0.0,0.0,1.0,1.0
2018-02-28,1.2881860865091397,-0.036360424627402854,-0.036360424627402854,5.223900605559894e-20,0.0,0.0,0.0,1.0,1.0
2018-03-31,1.2528762726463385,-0.027410491568409467,-0.027410491568409464,5.2724182898906964e-20,0.0,0.0,0.0,1.0,1.0
2018-04-30,1.2593514089356252,0.005168216870776732,0.005168216870776732,5.449027822223384e-20,0.0,0.0,0.0,1.0,1.0
2018-05-31,1.2899649130438755,0.024308944978371105,0.024308944978371105,5.552789917209425e-20,0.0,0.0,0.0,1.0,1.0
2018-06-30,1.2973838609655066,0.005751278849999819,0.005751278849999819,5.452188607546221e-20,0.0,0.0,0.0,1.0,1.0
2018-07-31,1.3454474539188437,0.03704654759430137,0.03704654759430137,5.621840599351668e-20,0.0,0.0,0.0,1.0,1.0
2018-08-31,1.3883939740067124,0.03191987911737448,0.03191987911737448,5.594048873850183e-20,0.0,0.0,0.0,1.0,1.0
2018-09-30,1.3966483489395605,0.005945268480982424,0.005945268480982424,5.453240227442976e-20,0.0,0.0,0.0,1.0,1.0
2018-10-31,1.3001339455803704,-0.06910429775144977,-0.06910429775144966,5.046395713676487e-20,0.0,0.0,0.0,1.0,1.0
2018-11-30,1.3242503892098132,0.018549199266293614,0.018549199266293614,5.521566273139432e-20,0.0,0.0,0.0,1.0,1.0
2018-12-31,1.2076522743447813,-0.08804839010438692,-0.08804839010438692,4.943699583252385e-20,0.0,0.0,0.0,1.0,1.0
2019-01-31,1.3043435548119102,0.08006549776059457,0.08006549776059457,5.855046795493372e-20,0.0,0.0,0.0,1.0,1.0
2019-02-28,1.3466250136770572,0.03241589128045641,0.03241589128045641,5.596737761174146e-20,0.0,0.0,0.0,1.0,1.0
2019-03-31,1.3709999319619044,0.018100746709204252,0.018100746709204252,5.519135206956168e-20,0.0,0.0,0.0,1.0,1.0
2019-04-30,1.4270080764330182,0.04085204029949585,0.04085204029949585,5.642470216643416e-20,0.0,0.0,0.0,1.0,1.0
2019-05-31,1.336006205568324,-0.06377109728219943,-0.06377109728219943,5.075307051351797e-20,0.0,0.0,0.0,1.0,1.0
2019-06-30,1.4289744949051582,0.06958671969437935,0.06958671969437935,5.798241225771452e-20,0.0,0.0,0.0,1.0,1.0
2019-07-31,1.4505797121950432,0.015119386222018694,0.015119386222018694,5.502973219370323e-20,0.0,0.0,0.0,1.0,1.0
2019-08-31,1.4262919961376892,-0.016743454946437475,-0.016743454946437586,5.330244411288319e-20,0.0,0.0,0.0,1.0,1.0
2019-09-30,1.454044228669934,0.019457609386714703,0.019457609386714703,5.526490774269774e-20,0.0,0.0,0.0,1.0,1.0
2019-10-31,1.4861855850381416,0.02210479965771639,0.02210479965771639,5.540841221483787e-20,0.0,0.0,0.0,1.0,1.0
2019-11-30,1.5399830953470761,0.036198379832592664,0.036198379832592664,5.617242672702284e-20,0.0,0.0,0.0,1.0,1.0
2019-12-31,1.5847285528803692,0.029055810851747355,0.029055810851747358,5.578522728671484e-20,0.0,0.0,0.0,1.0,1.0
2020-01-31,1.5840879709218865,-0.0004042218822386534,-0.0004042218822386534,5.4188195712130755e-20,0.0,0.0,0.0,1.0,1.0
2020-02-29,1.458682595923608,-0.07916566333452846,-0.07916566333452846,4.991852941559763e-20,0.0,0.0,0.0,1.0,1.0
